trace file : development/loop9/runs/m0_dryrun/case1_ds/torch/trace/1781132876.886654/bs-29-il-4096-1781132876.893986-TP-0-DECODE.trace.json.gz
stage      : decode  (matched 8 staged files; 17 total)
events=165294  total GPU-kernel us=631381

=== CATEGORY ROLLUP (% of GPU-kernel time) ===
        tot_us      %     calls  category
        191117   30.3     18678  DS-index/scoring
        163177   25.8      3120  all-reduce
         91858   14.5      3000  MoE
         73540   11.6     12442  other
         41923    6.6      3130  attention
         26820    4.2     12530  memcpy/set
         24299    3.8      4760  GEMM/proj
         18648    3.0     11000  norm/rope/elementwise

=== TOP 30 KERNELS ===
        tot_us      %     calls  kernel
        124949   19.8       780  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)
         88807   14.1      1500  fused_moe_kernel
         63211   10.0       780  _logical_score_kernel
         41404    6.6      3120  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 2>(at::cuda::det
         35098    5.6      1550  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtll
         31805    5.0       780  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::sparse_fp8::Ker
         28330    4.5       780  void at::native::sbtopk::gatherTopK<long, unsigned int, 2, false>(at::cuda::detail::TensorInfo<long 
         23869    3.8      3180  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, tr
         21530    3.4       780  void at::native::radixSortKVInPlace<2, -1, 64, 32, long, long, unsigned int>(at::cuda::detail::Tenso
         19928    3.2       780  void at::native::mbtopk::gatherTopK<float, unsigned int, 2>(at::cuda::detail::TensorInfo<float const
         13899    2.2      2250  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::TensorInfo<floa
         11431    1.8      1590  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 128u, 128u, 
          7943    1.3      3120  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(unsigned int*, short*, u
          7441    1.2      3120  at::native::mbtopk::computeDigitCumSum(short*, unsigned int*, unsigned int)
          7254    1.1       780  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(CombineParams
          6534    1.0      1500  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float, true>, uns
          5796    0.9       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 128u, 128u, 
          5294    0.8      2350  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_co
          5182    0.8       750  triton_per_fused_copy__mul_sum_0
          5124    0.8      1560  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub::detail::sc
          4100    0.6       780  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 128u, 128u, 
          3832    0.6       750  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
          3763    0.6      1500  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, fa
          3367    0.5       780  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_interna
          3337    0.5       780  void at::native::(anonymous namespace)::searchsorted_cuda_kernel<long, long>(long*, long const*, lon
          3306    0.5      2350  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorB
          3015    0.5       780  nvjet_sm90_tst_64x8_64x16_1x2_h_bz_TNT
          2795    0.4       780  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
          2350    0.4       780  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind
          2240    0.4      1560  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at::native::Opa
