trace file : /sgl-workspace/sglang/development/loop10/runs/20260611_task6r2_gates/case1_ds/torch/trace/1781179281.9755607/bs-29-il-4096-1781179281.9842434-TP-0-DECODE.trace.json.gz
stage      : decode  (matched 8 staged files; 17 total)
events=146021  total GPU-kernel us=375892

=== CATEGORY ROLLUP (% of GPU-kernel time) ===
        tot_us      %     calls  category
         91997   24.5      3000  MoE
         77884   20.7     19462  other
         59410   15.8      3120  all-reduce
         41025   10.9      3130  attention
         37182    9.9      3078  DS-index/scoring
         25891    6.9     10970  memcpy/set
         24265    6.5      4760  GEMM/proj
         18236    4.9     11780  norm/rope/elementwise

=== TOP 30 KERNELS ===
        tot_us      %     calls  kernel
         88949   23.7      1500  fused_moe_kernel
         33126    8.8      1550  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtll
         30251    8.0       780  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::sparse_fp8::Ker
         24420    6.5       800  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::A
         24070    6.4      3180  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, tr
         23080    6.1       780  _logical_score_kernel
         18394    4.9      3120  _radix_hist_kernel
         13950    3.7      2250  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::TensorInfo<floa
         11146    3.0      1590  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 128u, 128u, 
          7900    2.1       780  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(CombineParams
          6604    1.8      1500  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float, true>, uns
          5824    1.5       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 128u, 128u, 
          5640    1.5      3120  _radix_scan_kernel
          5400    1.4      2350  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_co
          5334    1.4       750  triton_per_fused_copy__mul_sum_0
          4602    1.2      1570  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorB
          4127    1.1       780  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 128u, 128u, 
          3965    1.1      1500  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, fa
          3953    1.1      4690  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1u
          3877    1.0       750  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
          3362    0.9       780  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_interna
          3052    0.8       780  nvjet_sm90_tst_64x8_64x16_1x2_h_bz_TNT
          2718    0.7       780  _emit_kernel
          2577    0.7       780  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
          2513    0.7       780  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind
          2239    0.6      1560  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at::native::Opa
          2137    0.6       780  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at::native::Opa
          2006    0.5       750  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned long, int*, b
          1875    0.5       780  _logical_to_physical_kernel
          1813    0.5       780  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16o
